Date,Description,Type,Street
2/1/18 - 1:50 am,"15-year-old arrested with loaded gun after Grove Hall B&E, police say",Illegal gun possession,97 Devon St.
1/26/18 - 10:15 am,Dorchester man charged as fentanyl dealer,Illegal drug possession,16 Algonquin St.
1/22/18 - 8:55 pm,Woman robbed at gunpoint in Dorchester Lower Mills,Armed robbery,1245 Adams St.
1/21/18 - 5:40 pm,Shots fired in Dorchester,Gunfire,Balsam St. and Ashton St.
1/19/18 - 2:30 pm,Dot Ave. dry cleaner held up at gunpoint,Armed robbery,1724 Dorchester Ave.
1/14/18 - 5:30 pm,Man shot to death in Codman Square,Murder,Kenwood St. and Washington St.
1/11/18 - 7:55 pm,Three teens with two guns hold up Dot. Ave laundromat twice tonight - and a gas station,Armed robbery,1828 Dorchester Ave.
1/11/18 - 2:03 pm,"Two shot in Dorchester, one dead; several nearby schools put in 'safe' mode",Murder,Columbia Rd. and Washington St.
1/10/18 - 11:36 pm,Suspects sought for armed robberies of markets on Ashmont Street in Dorchester,Armed robbery,630 Adams St.
1/10/18 - 11:36 pm,Suspects sought for armed robberies of markets on Ashmont Street in Dorchester,Armed robbery,760 Washington St.
