Date,Description,Type,Street
7/7/19 - 1:55 am,Man shot on Stratton Street in Dorchester,Shooting,Stratton St.
6/25/19 - 8:30 pm,Person shot on Theodore Street in Dorchester,Shooting,12 Theodore St.
6/23/19 - 10:45 pm,Man shot in the face on Fayston Street in Dorchester,Shooting,82 Fayston St.
6/23/19 - 10:00 pm,Two shot on Columbia Road in Dorchester,Shooting,197 Columbia Rd.
6/16/19 - 1:18 am,Man shot to death on Michigan Avenue in Dorchester,Murder,6 Michigan Ave.
6/14/19 - 3:32 am,Man fatally shot on Devon Street in Dorchester,Murder,107 Devon St.
5/30/19 - 10:45 pm,Man stabbed to death on Tremlett Street in Dorchester,Murder,Tremlett St.
5/27/19 - 12:09 am,Man shot on Fuller Street in Dorchester,Shooting,Fuller St.
5/22/19 - 10:51 am,Police hunt Codman Square bank robber,Bank robbery,305 Talbot Ave.
5/21/19 - 8:45 pm,Man shot to death on Millet Street in Dorchester,Murder,95 Millet St.
5/12/19 - 6:20 pm,Man wanted for armed robbery at Shawmut T stop involving a phone advertised online,Armed robbery,Dayton St.
5/10/19 - 5:07 am,Woman stabbed on Dorchester Avenue,Stabbing,1331 Dorchester Ave.
5/8/19 - 10:00 am,Man found fatally shot on Milton Avenue in Dorchester,Murder,66 Milton Ave.
5/6/19 - 12:34 am,Cops responding to gunfire on Magnolia Street in Dorchester recover gun and magazine loaded with 22 rounds,Gunfire,68 Magnolia St.
5/1/19 - 6:26 pm,"Four shot, one dead on Windermere Road in Dorchester",Murder,32 Windermere Rd.
4/17/19 - 7:45 am,"Two men angrily flashed weapons at each other as they sped down the Expressway, State Police say",Assault with a dangerous weapon,I-93 and Neponset Circle
4/14/19 - 3:00 am,Gunfire erupts again on Westville Street in Dorchester,Gunfire,Westville St. and Geneva Ave.
4/11/19 - 9:42 pm,Gunfire on Westville Street in Dorchester,gunfire,35 Westville St.
3/26/19 - 4:10 pm,"Cab passenger arrested with loaded gun in Dorchester, police say",Illegal gun possession,Talbot Ave. and Nightigale St.
3/21/19 - 11:40 pm,"Man shot in Dorchester, found by police two miles away in Roxbury",Shooting,39 Claybourne St.
3/18/19 - 9:35 pm,Jamaica Plain woman arrested for second time on charges she was driving around Dorchester with a loaded gun,Illegal gun possession,225 Washington St.
3/6/19 - 3:19 pm,Police: 15-year-old with loaded gun arrested in Dorchester,Illegal gun possession,Talbot Ave. and Washington St.
3/5/19 - 5:00 pm,Police: Dorchester man charged as gun-owning drug dealer,Illegal gun possession,Florida St.
3/2/19 - 2:58 am,Man shot to death on Greenwood Street in Dorchester,Murder,12 Greenwood St.
2/12/19 - 11:07 am,Person stabbed on Stanwood Street in Dorchester,Stabbing,148 Stanwood St.
2/5/19 - 1:55 pm,Dorchester market held up at gunpoint,Armed robbery,387 Columbia Rd.
2/3/19 - 11:25 pm,Shots fired on Esmond Street in Dorchester,Gunfire,65 Esmond St.
1/26/19 - 5:11 pm,"Two shot in Dorchester, one dead",Murder,49 Withington St.
1/22/19 - 6:45 pm,Large man charged with beating small dog at Ashmont T station,Animal cruelty,Ashmont MBTA Station
1/11/19 - 10:00 pm,"Pushy Ashmont fare piggybacker wouldn't take no for an answer, police, victim say",Assault and battery,Ashmont MBTA Station
1/1/19 - 3:05 am,Man shot to death on Dorchester/Mattapan line,Murder,19 Johnston Rd.
12/31/18 - 2:15 pm,Suspect arrested for daytime shooting in Fields Corner on Dec. 31,Shooting,1439 Dorchester Ave.
12/29/18 - 12:57 am,"Four armed robbers didn't get far with stolen tablet and phone, police say",Armed robbery,14 Trull St.
12/28/18 - 8:55 pm,Shots fired at Fairmount and Capen in Dorchester,Gunfire,Fairmount St. and Capen St.
12/27/18 - 9:24 pm,Man held up at gunpoint on Boston Street in Dorchester; one suspect arrested,Armed robbery,Boston St. and Howell St.
12/26/18 - 10:00 am,Man stabbed in leg in Dorchester robbery,Stabbing,347 Bowdoin St.
12/22/18 - 8:30 pm,Man arrested on gun and drug charges by officers investigating Roxbury gunfire,Illegal gun possession,Blue Hill Ave. and La Grange Pl.
12/17/18 - 2:14 pm,Man who shot two state troopers in 1988 arrested on gun charges in Dorchester,Illegal gun possession,Columbia Rd. and Washington St.
12/14/18 - 3:00 pm,Person shot on Corona Street in Dorchester,,
12/1/18 - 2:00 am,State trooper suspended after arrest for assault and battery in Dorchester,Assault and battery,367 Neponset Ave.
11/30/18 - 7:15 pm,"Man shot to death in Dorchester, found outside hall where residents, officials were discussing public safety",Murder,44 Norwell St.
11/25/18 - 2:10 am,Police: Loaded gun found in car whose driver zoomed past a cruiser with his headlights off in the rain,Illegal gun possession,Blue Hill Ave. and American Legion Highway
11/21/18 - 4:29 pm,Police investigate man's death in Uphams Corner,Suspicious death,614 Columbia Rd.
11/18/18 - 7:00 pm,Man charged with sexually attacking girl selling cookies at Ashmont T station,Indecent assault and battery,Peabody Square
11/16/18 - 11:45 pm,Teen seriously injured on Gallivan Boulevard,Assault and battery with a dangerous weapon,Gallivan Blvd. and Washington St.
11/15/18 - 6:07 am,Person shot in the leg on Magnolia Street in Dorchester,Shooting,94 Magnolia St.
11/11/18 - 11:27 am,"Middleboro man charged with ramming, injuring two police officers in Dorchester in failed attempt to steal a truck",Assault with intent to murder,192 Boston St.
11/8/18 - 8:00 am,Police: Man used a gun to make a point in an argument in Dorchester,Assault with a dangerous weapon,Harvard St. and Esmond St.
11/3/18 - 12:04 am,"Clerk at Dorchester market used trash barrel to block robber who kept trying to stab him, police say",Armed robbery,187 E. Cottage St.
10/22/18 - 12:09 pm,Shots fired near Codman Square,Gunfire,10 Darlington St.
10/20/18 - 8:05 pm,Man shot in the lower leg in Codman Square,Shooting,Talbot Ave. and Southern Ave.
10/19/18 - 10:05 pm,Gunfire on Draper Street in Dorchester,Gunfire,109 Draper St.
10/15/18 - 9:44 pm,Woman shot to death in Fields Corner,Murder,Ditson St. and Charles St.
10/12/18 - 9:31 pm,Man shot to death on Columbia Road in Dorchester,Murder,107 Columbia Rd.
10/11/18 - 2:08 am,Man shot to death in Fields Corner,Murder,12 Vinson St.
10/10/18 - 11:54 pm,Man charged with shooting woman outside his grandmother's Dorchester home last month,Shooting,70 Lyndhurst St.
10/6/18 - 11:35 pm,"Dorchester gas-station attendant murdered in robbery attempt, police say; suspect arrested",Murder,Washington St. and Melville Ave.
10/5/18 - 6:48 pm,"Two shot, one dead in Dorchester",Murder,11 Emrose Terrace
9/28/18 - 10:30 am,"Convicted drug dealer, second man arrested on drug, gun charges in Dorchester, police say",Illegal gun possession,49 Monadnock St.
9/15/18 - 8:10 pm,Man shot to death in Grove Hall,Murder,500 Blue Hill Ave.
9/14/18 - 9:45 pm,Gunfire at Dorchester intersection; man grazed by bullet,Shooting,Olney St. and Rosseter St.
9/4/18 - 3:10 pm,Man stabbed in the stomach on an MBTA bus in Codman Square,Stabbing,Talbot Ave. and Whitfield St.
9/4/18 - 9:52 am,"Two fail in knifepoint purse snatching in Dorchester, stick around, get arrested, police say",Armed robbery,450 Talbot Ave.
9/3/18 - 10:30 pm,"Police: Guy beats up, spits on elderly man at JFK/UMass T stop",Assault and battery,JFK/UMass
9/3/18 - 9:35 pm,Driver shot in Dorchester,Shooting,Merlin St.
9/3/18 - 12:24 pm,Man shot on Dorchester Avenue; arrest made,Shooting,Dorchester Ave. and Centre St.
9/3/18 - 1:00 am,Man charged with setting several things on fire in Dorchester - including an oil truck,Arson,87 Norwell St.
8/29/18 - 7:23 pm,"Two gun arrests in Dorchester lead to four more arrests, police say",Illegal gun possession,Esmond St.
8/27/18 - 11:05 pm,Man shot in Dorchester,Shooting,570 Dudley St.
8/25/18 - 3:43 am,Gunfire followed by arrest in Dorchester,Illegal gun possession,Columbia Rd. and Seaver St.
8/22/18 - 5:09 pm,Two teens arrested after gunfire on Lyford Street in Dorchester,Gunfire,130 Callender St.
